uid,postid,score,viewcount
"441","164473","3",""
"441","12585536","1","507"
"443","2765","6","487"
"443","3523","12",""
"443","3942","2","291"
"443","23446","11","14551"
"443","97104","1","627"
"443","977014","1","2156"
"443","1075088","1",""
"443","5779536","4",""
"443","7029713","190",""
"443","7029901","1",""
"443","7032130","0",""
"443","7042383","1",""
"443","7080115","3",""
"443","7083270","2",""
"443","7083722","1",""
"443","7083780","0",""
"443","7108472","0",""
"443","7113562","2",""
"443","7122198","3",""
"443","7122284","1",""
"443","7123162","0",""
"443","7124524","0",""
"443","7125529","1",""
"443","7141560","2",""
"443","7142065","0",""
"443","7152847","1",""
"443","7194871","0",""
"443","7194980","2",""
"443","7195109","1",""
"443","7196062","2",""
"443","7204786","0",""
"443","7205807","0",""
"443","7205903","0",""
"443","7222282","1",""
"443","7233551","0",""
"443","7233784","0",""
"443","7233886","1",""
"443","7237853","3",""
"443","7244623","10",""
"443","7248505","2",""
"443","7248623","1",""
"443","7249099","1",""
"443","7249229","0",""
"443","7258793","0",""
"443","7260579","0",""
"443","7262468","0",""
"443","7263593","0",""
"443","7265030","1",""
"443","7265058","2",""
"443","7265181","3",""
"443","7271094","1",""
"443","7275795","0",""
"443","7286214","1",""
"443","7288544","1",""
"443","7320317","0",""
"443","7320674","0",""
"443","7322216","1",""
"443","7324790","9",""
"443","7324940","0",""
"443","7325169","1",""
"443","7328092","1",""
"443","7342328","1",""
"443","7342465","1",""
"443","7342510","1",""
"443","7342656","2",""
"443","7352587","1",""
"443","7352932","0",""
"443","7353274","1",""
"443","7354715","1",""
"443","7356491","1",""
"443","7383011","9",""
"443","7392119","0",""
"443","7393942","0",""
"443","7395174","0",""
"443","7406675","0","163"
"443","7406813","1",""
"443","7407378","1",""
"443","7407589","3",""
"443","7408466","0",""
"443","7409408","3",""
"443","7410401","4",""
"443","7410555","2",""
"443","7410651","1",""
"443","7465918","1",""
"443","7473212","3",""
"443","7480251","5",""
"443","7486697","0",""
"443","7492216","0",""
"443","7508685","17",""
"443","7508830","2",""
"443","7520505","0",""
"443","7520722","1",""
"443","7523476","9",""
"443","7532648","0",""
"443","7540436","2",""
"443","7563456","2",""
"443","7563626","1",""
"443","7573390","0",""
"443","7574819","3",""
"443","7597226","2",""
"443","7599140","5",""
"443","7601796","0",""
"443","7603938","1",""
"443","7611546","48",""
"443","7616378","0",""
"443","7653605","0",""
"443","7653646","1",""
"443","7653779","1",""
"443","7654593","1",""
"443","7655383","1",""
"443","7656526","7",""
"443","7669255","2",""
"443","7669263","2",""
"443","7680537","16",""
"443","7692348","3",""
"443","7799423","1",""
"443","7836858","1",""
"443","8081743","0",""
"443","8099338","0",""
"443","8099551","0",""
"443","8100237","1",""
"443","8100352","0",""
"443","8127044","4",""
"443","8234636","1",""
"443","8319535","4",""
"443","8350712","1",""
"443","8452550","0",""
"443","9441053","1",""
"443","12287271","1",""
"443","12303226","3",""
"443","12642844","25","18146"
"443","13114356","1",""
"443","13146875","1",""
"443","13258979","0",""
"443","13259036","1",""
"443","13570257","1",""
"443","13608513","1",""
"443","13651727","0",""
"443","13691983","0","174"
"443","13765769","0",""
"443","13848917","2","128"
"443","13886012","0",""
"443","13886301","0",""
"443","13886808","3",""
"443","13920317","1",""
"443","13922906","0",""
"443","13956019","0",""
"443","14074596","3",""
"443","14285592","0",""
"443","14286401","0",""
"443","14286492","2",""
"443","14382303","3",""
"443","14418436","0",""
"443","15766466","1",""
"443","18983518","0",""
"443","18983815","0",""
"443","21124183","0",""
"443","21918536","16","1220"
"443","22260327","0",""
"443","22669657","0",""
"443","23548683","0","28"
"443","32766653","1",""
